# QuadID Node1 Node2 Node3 Node4
942 19482 19502 19507 19487
943 19487 19507 19512 19492
944 17336 19452 19581 17465
945 17465 19581 19586 17470
946 17470 19586 19591 17475
947 17475 19591 19596 17480
948 19452 19472 19601 19581
949 19581 19601 19606 19586
950 19586 19606 19611 19591
951 19591 19611 19616 19596
952 19472 19492 19621 19601
953 19601 19621 19626 19606
954 19606 19626 19631 19611
955 19611 19631 19636 19616
956 19492 19512 19641 19621
957 19621 19641 19646 19626
958 19626 19646 19651 19631
959 19631 19651 19656 19636
960 18324 19725 19726 18325
961 18325 19726 19735 18334
962 18334 19735 19740 18339
963 18339 19740 19745 18344
964 19725 19750 19751 19726
965 19726 19751 19760 19735
966 19735 19760 19765 19740
967 19740 19765 19770 19745
968 19750 19775 19776 19751
969 19751 19776 19785 19760
970 19760 19785 19790 19765
971 19765 19790 19795 19770
972 19775 19800 19801 19776
973 19776 19801 19810 19785
974 19785 19810 19815 19790
975 19790 19815 19820 19795
976 18344 19745 19905 18489
977 18489 19905 19910 18494
978 18494 19910 19915 18499
979 18499 19915 19920 18504
980 19745 19770 19925 19905
981 19905 19925 19930 19910
982 19910 19930 19935 19915
983 19915 19935 19940 19920
984 19770 19795 19945 19925
985 19925 19945 19950 19930
986 19930 19950 19955 19935
987 19935 19955 19960 19940
988 19795 19820 19965 19945
989 19945 19965 19970 19950
990 19950 19970 19975 19955
991 19955 19975 19980 19960
992 18504 19920 20049 18633
993 18633 20049 20054 18638
994 18638 20054 20059 18643
995 18643 20059 20064 18648
996 19920 19940 20069 20049
997 20049 20069 20074 20054
998 20054 20074 20079 20059
999 20059 20079 20084 20064
1000 19940 19960 20089 20069
