# NodeID X Y Z
640 0.000000 0.025000 0.700000
641 0.025000 0.050000 0.625000
642 0.000000 0.050000 0.625000
643 0.025000 0.050000 0.650000
644 0.000000 0.050000 0.650000
645 0.025000 0.050000 0.675000
646 0.000000 0.050000 0.675000
647 0.025000 0.050000 0.700000
648 0.000000 0.050000 0.700000
649 0.025000 0.075000 0.625000
650 0.000000 0.075000 0.625000
651 0.025000 0.075000 0.650000
652 0.000000 0.075000 0.650000
653 0.025000 0.075000 0.675000
654 0.000000 0.075000 0.675000
655 0.025000 0.075000 0.700000
656 0.000000 0.075000 0.700000
657 0.025000 0.100000 0.625000
658 0.000000 0.100000 0.625000
659 0.025000 0.100000 0.650000
660 0.000000 0.100000 0.650000
661 0.025000 0.100000 0.675000
662 0.000000 0.100000 0.675000
663 0.025000 0.100000 0.700000
664 0.000000 0.100000 0.700000
665 0.050000 0.000000 0.625000
666 0.050000 0.025000 0.625000
667 0.050000 0.000000 0.650000
668 0.050000 0.025000 0.650000
669 0.050000 0.000000 0.675000
670 0.050000 0.025000 0.675000
671 0.050000 0.000000 0.700000
672 0.050000 0.025000 0.700000
673 0.050000 0.050000 0.625000
674 0.050000 0.050000 0.650000
675 0.050000 0.050000 0.675000
676 0.050000 0.050000 0.700000
677 0.050000 0.075000 0.625000
678 0.050000 0.075000 0.650000
679 0.050000 0.075000 0.675000
680 0.050000 0.075000 0.700000
681 0.050000 0.100000 0.625000
682 0.050000 0.100000 0.650000
683 0.050000 0.100000 0.675000
684 0.050000 0.100000 0.700000
685 0.075000 0.000000 0.625000
686 0.075000 0.025000 0.625000
687 0.075000 0.000000 0.650000
688 0.075000 0.025000 0.650000
689 0.075000 0.000000 0.675000
690 0.075000 0.025000 0.675000
691 0.075000 0.000000 0.700000
692 0.075000 0.025000 0.700000
693 0.075000 0.050000 0.625000
694 0.075000 0.050000 0.650000
695 0.075000 0.050000 0.675000
696 0.075000 0.050000 0.700000
697 0.075000 0.075000 0.625000
698 0.075000 0.075000 0.650000
699 0.075000 0.075000 0.675000
700 0.075000 0.075000 0.700000
701 0.075000 0.100000 0.625000
702 0.075000 0.100000 0.650000
703 0.075000 0.100000 0.675000
704 0.075000 0.100000 0.700000
705 0.100000 0.000000 0.625000
706 0.100000 0.025000 0.625000
707 0.100000 0.000000 0.650000
708 0.100000 0.025000 0.650000
709 0.100000 0.000000 0.675000
710 0.100000 0.025000 0.675000
711 0.100000 0.000000 0.700000
712 0.100000 0.025000 0.700000
713 0.100000 0.050000 0.625000
714 0.100000 0.050000 0.650000
715 0.100000 0.050000 0.675000
716 0.100000 0.050000 0.700000
717 0.100000 0.075000 0.625000
718 0.100000 0.075000 0.650000
719 0.100000 0.075000 0.675000
720 0.100000 0.075000 0.700000
